batch,epoch,loss,accuracy,auc,val_loss,val_accuracy,val_auc
1,1,0.4692,0.8298,0.7112,0.3974,0.7852,0.8338
1,2,0.3666,0.8623,0.7767,0.3018,0.8867,0.877
1,3,0.3509,0.8623,0.8117,0.3442,0.8789,0.7958
2,1,0.3182,0.8942,0.8022,0.3129,0.8906,0.8381
2,2,0.3204,0.8867,0.813,0.3152,0.8828,0.8524
2,3,0.2958,0.8912,0.8562,0.3032,0.8711,0.9058
3,1,0.3318,0.868,0.8385,0.3494,0.8438,0.8738
3,2,0.3191,0.8628,0.8585,0.3187,0.8672,0.8691
3,3,0.293,0.8732,0.8844,0.3236,0.8594,0.8976
4,1,0.3105,0.8709,0.8497,0.2461,0.8984,0.8518
4,2,0.2935,0.8716,0.875,0.3397,0.8398,0.8728
4,3,0.2809,0.8793,0.871,0.255,0.8945,0.9166
5,1,nan,0.8428,0.0722,nan,0.8086,0.0
5,2,nan,0.8323,0.0,nan,0.8125,0.0
5,3,nan,0.8294,0.0,nan,0.8359,0.0
6,1,nan,0.8311,0.0,nan,0.8555,0.0
6,2,nan,0.8333,0.0,nan,0.8398,0.0
6,3,nan,0.8289,0.0,nan,0.8438,0.0
7,1,nan,0.835,0.0,nan,0.8516,0.0
7,2,nan,0.8259,0.0,nan,0.8594,0.0
7,3,nan,0.8319,0.0,nan,0.8125,0.0
8,1,nan,0.8571,0.0,nan,0.8867,0.0
8,2,nan,0.8579,0.0,nan,0.8633,0.0
8,3,nan,0.8586,0.0,nan,0.8945,0.0
9,1,nan,0.8384,0.0,nan,0.8438,0.0
9,2,nan,0.8347,0.0,nan,0.8398,0.0
9,3,nan,0.8332,0.0,nan,0.8008,0.0
10,1,nan,0.8306,0.0,nan,0.793,0.0
10,2,nan,0.8351,0.0,nan,0.8477,0.0
10,3,nan,0.8253,0.0,nan,0.793,0.0
